gamma,Load
-0.006962474,-16.35
-0.006240719,-11.59
-0.005571675,-7.29
-0.004754787,-4.05
-0.004175318,-1.6
-0.003677305,-0.18
-0.003605604,0.06
-0.003545047,0.49
-0.003332749,1.04
-0.002731107,2.13
-0.001992038,2.6
-0.001211571,3.07
-0.000404268,3.61
0.000349557,4.31
0.001154496,5.25
0.001901229,6.55
0.002723352,8.23
0.003529187,10.33
0.004235861,12.57
0.004987959,15.46
0.005734692,18.42
0.006486218,21.39
0.007152768,24.89
0.007827748,28.17
0.008071182,28.45
0.008251877,29.28
0.008422285,30.02
0.008653327,31.02
0.008811147,31.91
0.009016951,32.9
0.009171771,33.81
0.009434884,34.75
0.009576352,35.71
0.009785987,36.44
0.009949367,37.27
0.010086873,38.13
0.010253449,39.03
0.010508703,39.65
0.009821006,32.4
0.009143403,26.65
0.008386382,21.35
0.007713571,16.34
0.006951887,11.75
0.006239654,7.77
0.005586327,4.35
0.004932105,1.85
0.004366755,0.26
0.004287845,-0.01
0.004017406,-0.61
0.003754696,-1.25
0.003269335,-1.84
0.002656834,-2.37
0.001930546,-2.71
0.00115621,-3.21
0.000365261,-3.74
-0.000432585,-4.44
-0.001191905,-5.29
-0.001988219,-6.51
-0.002733484,-8.11
-0.003445523,-10.11
-0.004152391,-12.56
-0.004955602,-15.13
-0.005655249,-18.04
-0.006321864,-21.11
-0.007239836,-24.97
-0.007416634,-25.95
-0.007559504,-26.85
-0.007719819,-27.93
-0.007873743,-28.77
-0.008114306,-29.94
-0.008278518,-30.84
-0.008459148,-31.8
-0.008617736,-32.71
-0.00878904,-33.72
-0.008944561,-34.71
-0.009147235,-35.51
-0.009267295,-36.28
-0.009434637,-37.05
-0.009688554,-37.79
-0.008997402,-30.28
-0.008284909,-24.23
-0.007570182,-19.02
-0.006749331,-14.01
-0.006123542,-9.71
-0.005390863,-5.94
-0.00466994,-3.04
-0.004014821,-1.1
-0.003652833,0.05
-0.0034781,0.37
-0.003327202,0.9
-0.002801782,1.73
-0.002092679,2.16
-0.001287676,2.51
-0.000524459,2.96
0.000264892,3.53
0.001042228,4.26
0.001847933,5.27
0.002714338,6.72
0.003505923,8.41
0.004279362,10.42
0.004961694,12.92
0.005657249,15.43
0.006362261,18.18
0.007029642,21.22
0.007870236,25.01
0.008036682,25.64
0.008245681,26.61
0.008378199,27.11
0.008567519,28.14
0.008825332,29.04
0.009017718,29.99
0.00922282,31.21
0.009490024,32.1
0.009634492,33.14
0.009807199,34.16
0.009978438,34.89
